Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR19075274	GSM6102575: Endometriosis Patient 7 - Eutopic - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	37002	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075274/SRR19075274.sra	SRR19075274.sra	SRR19075274_GSM6102575_Endometriosis_Patient_7_-_Eutopic_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/074/SRR19075274/SRR19075274.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/074/SRR19075274/SRR19075274.fastq.gz	SRR19075274.fastq.gz	SRR19075274_GSM6102575_Endometriosis_Patient_7_-_Eutopic_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR21658715	GSM6595250: Endometriosis Patient 2 - Ectopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	463676	1678251600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR216/SRR21658715/SRR21658715.sra	SRR21658715.sra	SRR21658715_GSM6595250_Endometriosis_Patient_2_-_Ectopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR21658715_GSM6595250_Endometriosis_Patient_2_-_Ectopic_Homo_sapiens_RNA-Seq
SRR21658726	GSM6595261: Endometriosis Patient 10 - Ectopic Ovary; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	427003	1678251600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR216/SRR21658726/SRR21658726.sra	SRR21658726.sra	SRR21658726_GSM6595261_Endometriosis_Patient_10_-_Ectopic_Ovary_Homo_sapiens_RNA-Seq.sra	ftp://			SRR21658726_GSM6595261_Endometriosis_Patient_10_-_Ectopic_Ovary_Homo_sapiens_RNA-Seq
SRR21658719	GSM6595254: Endometriosis Patient 4 - Ectopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	712953	1678251600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR216/SRR21658719/SRR21658719.sra	SRR21658719.sra	SRR21658719_GSM6595254_Endometriosis_Patient_4_-_Ectopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR21658719_GSM6595254_Endometriosis_Patient_4_-_Ectopic_Homo_sapiens_RNA-Seq
SRR19075279	GSM6102580: Endometriosis Patient 13 - Ectopic - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	33838	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075279/SRR19075279.sra	SRR19075279.sra	SRR19075279_GSM6102580_Endometriosis_Patient_13_-_Ectopic_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/079/SRR19075279/SRR19075279.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/079/SRR19075279/SRR19075279.fastq.gz	SRR19075279.fastq.gz	SRR19075279_GSM6102580_Endometriosis_Patient_13_-_Ectopic_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR21658718	GSM6595253: Endometriosis Patient 3 - Ectopic Adjacent; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	643602	1678251600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR216/SRR21658718/SRR21658718.sra	SRR21658718.sra	SRR21658718_GSM6595253_Endometriosis_Patient_3_-_Ectopic_Adjacent_Homo_sapiens_RNA-Seq.sra	ftp://			SRR21658718_GSM6595253_Endometriosis_Patient_3_-_Ectopic_Adjacent_Homo_sapiens_RNA-Seq
SRR19075268	GSM6102569: Control Patient 5 - Control Endometrium - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	28067	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075268/SRR19075268.sra	SRR19075268.sra	SRR19075268_GSM6102569_Control_Patient_5_-_Control_Endometrium_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/068/SRR19075268/SRR19075268.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/068/SRR19075268/SRR19075268.fastq.gz	SRR19075268.fastq.gz	SRR19075268_GSM6102569_Control_Patient_5_-_Control_Endometrium_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075269	GSM6102570: Control Patient 6 - Control Endometrium - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	27041	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075269/SRR19075269.sra	SRR19075269.sra	SRR19075269_GSM6102570_Control_Patient_6_-_Control_Endometrium_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/069/SRR19075269/SRR19075269.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/069/SRR19075269/SRR19075269.fastq.gz	SRR19075269.fastq.gz	SRR19075269_GSM6102570_Control_Patient_6_-_Control_Endometrium_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075271	GSM6102572: Endometriosis Patient 3 - Eutopic - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	44130	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075271/SRR19075271.sra	SRR19075271.sra	SRR19075271_GSM6102572_Endometriosis_Patient_3_-_Eutopic_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/071/SRR19075271/SRR19075271.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/071/SRR19075271/SRR19075271.fastq.gz	SRR19075271.fastq.gz	SRR19075271_GSM6102572_Endometriosis_Patient_3_-_Eutopic_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075276	GSM6102577: Endometriosis Patient 10 - Ectopic Ovary - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	24433	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075276/SRR19075276.sra	SRR19075276.sra	SRR19075276_GSM6102577_Endometriosis_Patient_10_-_Ectopic_Ovary_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/076/SRR19075276/SRR19075276.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/076/SRR19075276/SRR19075276.fastq.gz	SRR19075276.fastq.gz	SRR19075276_GSM6102577_Endometriosis_Patient_10_-_Ectopic_Ovary_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075286	GSM6102587: Endometriosis Patient 16 - Eutopic - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	27195	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075286/SRR19075286.sra	SRR19075286.sra	SRR19075286_GSM6102587_Endometriosis_Patient_16_-_Eutopic_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/086/SRR19075286/SRR19075286.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/086/SRR19075286/SRR19075286.fastq.gz	SRR19075286.fastq.gz	SRR19075286_GSM6102587_Endometriosis_Patient_16_-_Eutopic_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075266	GSM6102567: Control Patient 1 - Control Endometrium - bulk; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	48160	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075266/SRR19075266.sra	SRR19075266.sra	SRR19075266_GSM6102567_Control_Patient_1_-_Control_Endometrium_-_bulk_Homo_sapiens_RNA-Seq.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/066/SRR19075266/SRR19075266.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR190/066/SRR19075266/SRR19075266.fastq.gz	SRR19075266.fastq.gz	SRR19075266_GSM6102567_Control_Patient_1_-_Control_Endometrium_-_bulk_Homo_sapiens_RNA-Seq.fastq.gz
SRR19075249	GSM6102550: Endometriosis Patient 6 - Ectopic; Homo sapiens; RNA-Seq	Illumina NovaSeq 6000	830499	1651809600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR190/SRR19075249/SRR19075249.sra	SRR19075249.sra	SRR19075249_GSM6102550_Endometriosis_Patient_6_-_Ectopic_Homo_sapiens_RNA-Seq.sra	ftp://			SRR19075249_GSM6102550_Endometriosis_Patient_6_-_Ectopic_Homo_sapiens_RNA-Seq
